asset,index,x,y,width,height,faceX,faceY,faceSpan,referenceSpan
husband-motion,0,0,0,191,327,106.33475162216786,85.8850122327412,117.97171693828368,35.58863065977899
husband-motion,1,248,0,163,326,83.73406094661766,84.68132699373244,115.2960039724453,35.58863065977899
husband-motion,2,496,0,170,326,86.5195045093991,86.47604042160165,114.80687840594189,35.58863065977899
husband-motion,3,744,0,187,327,92.4703044596913,85.3665308747856,119.49864248298599,35.58863065977899
husband-motion,4,0,332,149,328,76.76980681571521,82.89125244193622,120.298602844812,35.58863065977899
husband-motion,5,248,332,147,328,77.26147662365133,83.41241802411679,121.06171380871352,35.58863065977899
husband-motion,6,496,332,146,328,77.56281304303388,84.10324031483185,122.58975742008373,35.58863065977899
husband-motion,7,744,332,152,327,78.81965563506265,82.47406082289802,119.7698414459305,35.58863065977899
husband-motion,8,0,664,244,257,116.50419431576312,74.72304995617878,117.39389162213311,35.58863065977899
husband-motion,9,248,664,238,280,123.80641592920358,78.05506391347103,119.18029091794004,35.58863065977899
husband-motion,10,496,664,232,260,126.78145251396654,88.9706145251397,124.23264073036162,35.58863065977899
husband-motion,11,744,664,175,311,94.47172466734901,74.48733367451382,105.97298318128605,35.58863065977899
husband-social,0,0,0,161,325,88.60232740293162,81.22580284211705,114.80482668559243,35.58863065977899
husband-social,1,244,0,211,330,104.6319837140918,78.79834878986655,118.31226954115346,35.58863065977899
husband-social,2,488,0,227,326,127.66440794762832,81.6791087630642,116.45559965235151,35.58863065977899
husband-social,3,732,0,157,327,75.4223171999538,79.67217280813215,115.01838079111343,35.58863065977899
husband-social,4,0,336,225,326,133.4020572450805,84.20225849731662,116.18357577272053,35.58863065977899
husband-social,5,244,336,237,329,121.61230063360279,80.46580729735638,119.62818781402665,35.58863065977899
husband-social,6,488,336,231,324,122.7991930477964,80.92602938133666,121.58583905268657,35.58863065977899
husband-social,7,732,336,163,329,82.55050558807875,83.77892496008513,119.11396781337365,35.58863065977899
husband-social,8,0,672,240,317,137.23959632611408,85.66095929243681,116.6547242748648,35.58863065977899
husband-social,9,244,672,233,315,141.34256661991583,84.87470780738659,116.86591654337009,35.58863065977899
husband-social,10,488,672,165,323,87.34625746749441,79.84573035024016,114.32667519241633,35.58863065977899
husband-social,11,732,672,206,323,80.63356123305743,79.0694494422454,117.40339037635036,35.58863065977899
husband-personal,0,0,0,179,352,86.489936086998,92.02165410664885,136.70661968761334,35.58863065977899
husband-personal,1,244,0,174,352,90.9934227385325,94.82326813017852,139.52844299681425,35.58863065977899
husband-personal,2,488,0,158,352,87.29769594138634,91.66441723705775,133.6248737290018,35.58863065977899
husband-personal,3,732,0,162,351,90.33011086474505,93.27804878048781,132.55540958280625,35.58863065977899
husband-personal,4,0,356,180,281,88.07420814479639,91.20050276520863,130.37518326557844,35.58863065977899
husband-personal,5,244,356,180,279,87.6940594059406,90.76762376237622,127.72458277656062,35.58863065977899
husband-personal,6,488,356,179,278,88.71011634786032,91.2472885032538,127.97307088963485,35.58863065977899
husband-personal,7,732,356,237,283,117.97661851813359,88.00083134157745,125.69079201193267,35.58863065977899
husband-personal,8,0,712,201,322,85.46583782594345,86.01166244911428,121.82687577914112,35.58863065977899
husband-personal,9,244,712,208,295,88.65034965034965,87.77024588314907,124.42945880218485,35.58863065977899
husband-personal,10,488,712,204,315,118.98879485039936,91.11455477410891,121.22148255832232,35.58863065977899
husband-personal,11,732,712,194,311,120.8381822553498,90.05734551574892,123.87629168501336,35.58863065977899
kiss,0,0,0,195,321,126.25638766519825,80.9226872246696,119.69858550078484,35.58863065977899
kiss,1,216,0,190,319,127.77643908969208,81.5252119589469,116.23250081439228,35.58863065977899
kiss,2,432,0,187,320,124.57456915598766,81.78977021652673,115.64293015329181,35.58863065977899
kiss,3,648,0,166,322,105.11693159922925,79.35513005780346,116.804642556891,35.58863065977899
parachutes,1,0,0,375,476,141.0145469853594,120.62383647504561,191.55044876920687,35.58863065977899
parachutes,2,412,0,359,480,149.89295876428355,123.70556885416195,195.68418654053912,35.58863065977899
peeking,0,0,0,396,488,195.26943021079438,215.77963241385658,346.24796002808284,35.58863065977899
peeking,1,460,0,395,488,197.09759117676708,216.7133457158078,343.3456791817388,35.58863065977899
cooling,0,0,0,209,459,108.81901541929204,115.9017980636238,177.2050618283498,35.58863065977899
cooling,1,316,0,256,458,160.30351738850027,115.02480527856329,170.95179535330794,35.58863065977899
cooling,2,632,0,279,391,173.84456343105558,128.78115888246833,181.6101884185063,35.58863065977899
cooling,3,948,0,312,380,135.3119396809343,125.88809709898396,181.3221441070419,35.58863065977899
husband-idle,0,0,0,203,258,109.52944172779135,86.6686022819886,121.20365890617566,35.58863065977899
husband-idle,1,208,0,200,265,88.65250379362669,83.13404147698535,118.10576447968248,35.58863065977899
husband-idle,2,416,0,199,264,92.73798905331444,84.43827285627407,118.64075506346094,35.58863065977899
husband-idle,3,624,0,185,260,82.33426100785209,83.48573700427391,121.3648673604342,35.58863065977899
husband-idle,4,0,344,162,311,72.8973924380704,73.91368970013036,109.28895914482683,35.58863065977899
husband-idle,5,208,344,176,310,91.22513910686257,68.59266657155081,102.52363270867727,35.58863065977899
husband-idle,6,416,344,187,300,72.53964727121229,91.20788779336203,100.36568299657897,35.58863065977899
husband-idle,7,624,344,182,304,111.69448028673833,91.87928315412182,100.70471591440219,35.58863065977899
husband-idle,8,0,688,158,335,80.6663992665597,84.0428604171442,117.73890934062332,35.58863065977899
husband-idle,9,208,688,167,335,75.88184167253934,79.04956542165849,115.82705535919385,35.58863065977899
husband-idle,10,416,688,180,335,77.48208989276748,84.82819986310744,118.46808965154409,35.58863065977899
husband-idle,11,624,688,169,338,77.43135224684204,83.52195071443361,119.0155226335504,35.58863065977899
husband-idle,12,0,1032,182,318,101.30724313579327,78.96906448005961,113.99012580333967,35.58863065977899
husband-idle,13,208,1032,178,315,98.74719101123594,81.26391726251268,116.74710787378717,35.58863065977899
husband-idle,14,416,1032,173,318,91.1407624633431,81.05967104424326,115.20365624783165,35.58863065977899
husband-idle,15,624,1032,172,315,101.08775228782747,81.90648113325824,115.84280159382774,35.58863065977899
w11-husband-rain-default-motion,0,0,0,263,322,149.84599667986208,111.69620738092198,107.44403352034581,35.58863065977899
w11-husband-rain-default-motion,1,276,0,264,323,151.52666835187057,110.198432760364,107.44403352034581,35.58863065977899
w11-husband-rain-default-motion,2,552,0,271,329,156.87392120075046,115.67554721701063,107.44403352034581,35.58863065977899
w11-husband-rain-default-motion,3,828,0,265,323,156.18281423119538,115.7665886987566,107.44403352034581,35.58863065977899
w11-husband-rain-default-motion,4,0,340,267,337,149.6091168798907,118.08247422680412,107.44403352034581,35.58863065977899
w11-husband-rain-default-motion,5,276,340,269,339,152.71596382003995,120.20862210736522,107.44403352034581,35.58863065977899
w11-husband-rain-default-motion,6,552,340,273,339,156.4690014197823,118.15132513014672,107.44403352034581,35.58863065977899
w11-husband-rain-default-motion,7,828,340,270,337,153.38427022310856,118.56163529851676,107.44403352034581,35.58863065977899
w11-husband-rain-default-social,12,0,0,227,329,125.94103308183401,122.75414973882764,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,13,248,0,234,329,132.0351548487385,118.91402606720075,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,14,496,0,234,329,156.90238233585126,133.44237846213443,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,15,744,0,225,329,135.663381669717,109.97212445445587,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,16,0,332,227,330,139.9402145473574,120.62781266352695,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,17,248,332,241,325,135.84467737544242,116.54505853525728,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,18,496,332,235,324,155.37344996635585,140.59703931558204,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,19,744,332,228,327,140.37225019878082,118.60310098065199,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,20,0,664,231,323,136.7835810718669,121.02522841947362,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,21,248,664,233,323,146.30733702823963,121.89970968593298,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,22,496,664,230,327,140.6626403123475,120.06417764763299,107.49819284174905,35.58863065977899
w11-husband-rain-default-social,23,744,664,245,328,132.70248881752494,124.91604541805253,107.49819284174905,35.58863065977899
w11-husband-rain-default-personal,24,0,0,228,340,137.9045536403396,131.00321584769745,106.21288644505823,35.58863065977899
w11-husband-rain-default-personal,25,248,0,229,340,143.61531437516305,129.7649360813984,106.21288644505823,35.58863065977899
w11-husband-rain-default-personal,26,496,0,228,340,141.44378136443783,123.59093991590939,106.21288644505823,35.58863065977899
w11-husband-rain-default-personal,27,744,0,228,340,155.62853247397123,123.95637084779375,106.21288644505823,35.58863065977899
w11-husband-rain-default-personal,28,0,340,228,293,136.20728021978022,133.05,106.21288644505823,35.58863065977899
w11-husband-rain-default-personal,29,248,340,224,291,145.28427260812583,130.3684141546527,106.21288644505823,35.58863065977899
w11-husband-rain-default-personal,30,496,340,227,294,138.1946925566343,134.3388996763754,106.21288644505823,35.58863065977899
w11-husband-rain-default-personal,31,744,340,248,294,140.47029367979428,127.42468534307756,106.21288644505823,35.58863065977899
